web-scraper-order,web-scraper-start-url,containers_links,containers_links-href,type,prix,adresse,image_lien -src
"1752803317-1","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750016","Chaussures Enfants","Prix sur demande","Guédiawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_750022_uploaded_image1_1563279678.59.png"
"1752803320-2","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750022","Chaussures Enfants","Prix sur demande","Guédiawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_750022_uploaded_image1_1563279678.59.png"
"1752803322-3","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/claquettes-enfants-781661","Chaussures Enfants","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_3768510_uploaded_image1_1656771169.jpg"
"1752803325-4","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792038","Chaussures Enfants","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803327-5","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792041","Chaussures Enfants","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803330-6","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792044","Chaussures Enfants","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803332-7","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792099","Chaussures Enfants","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803335-8","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","4 000CFA","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792468","Chaussures Enfants","4 000 CFA","Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803338-9","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-796879","Chaussures Enfants","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803340-10","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-796881","Chaussures Enfants","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803343-11","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-796883","Chaussures Enfants","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803345-12","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-mocassins-enfant-797188","Chaussures Enfants","Prix sur demande","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3354895_uploaded_image1_1632752207.jpg"
"1752803348-13","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-799181","Chaussures Enfants","Prix sur demande","Petit-Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803351-14","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-799556","Chaussures Enfants","Prix sur demande","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803353-15","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/talons-fillette-801320","Chaussures Enfants","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_801336_uploaded_image1_1564654599.57.png"
"1752803356-16","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-talons-fillette-801329","Chaussures Enfants","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_801329_uploaded_image1_1564654543.94.png"
"1752803358-17","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/talons-rases-801336","Chaussures Enfants","Prix sur demande","Sénégal",""
"1752803361-18","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-811210","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803363-19","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813196","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803366-20","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813203","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803368-21","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813206","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803370-22","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813210","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803373-23","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813213","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803375-24","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813222","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803378-25","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813226","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803380-26","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813228","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803382-27","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813230","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803385-28","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813239","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803387-29","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813272","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803390-30","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813282","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803392-31","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813287","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803395-32","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813299","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803397-33","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813303","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803399-34","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813318","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803402-35","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","8 000CFA","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-824543","Chaussures Enfants","8 000 CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803404-36","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","8 000CFA","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-825843","Chaussures Enfants","8 000 CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803407-37","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","8 000CFA","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-838285","Chaussures Enfants","8 000 CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803410-38","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/mocassins-enfant-838292","Chaussures Enfants","Prix sur demande","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3354895_uploaded_image1_1632752207.jpg"
"1752803412-39","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","8 500CFA","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-848875","Chaussures Enfants","8 500 CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803414-40","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","6 000CFA","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-854221","Chaussures Enfants","6 000 CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803417-41","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","15 000CFA","https://sn.coinafrique.com/annonce/chaussures-enfants/ensemble-talon-861833","Chaussures Enfants","15 000 CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_861833_uploaded_image1_1566391948.31.png"
"1752803420-42","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","7 500CFA","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-878800","Chaussures Enfants","7 500 CFA","Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803422-43","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","7 500CFA","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-878809","Chaussures Enfants","7 500 CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803425-44","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","13 000CFA","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfant-884530","Chaussures Enfants","13 000 CFA","Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803427-45","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-892593","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803429-46","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-892611","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803432-47","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-892617","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803434-48","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-892623","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803437-49","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","8 000CFA","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-894185","Chaussures Enfants","8 000 CFA","Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803440-50","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","15 000CFA","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-baskets-894226","Chaussures Enfants","15 000 CFA","Sénégal","https://images.coinafrique.com/thumb_5080430_uploaded_image1_1733555952.jpg"
"1752803442-51","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","8 000CFA","https://sn.coinafrique.com/annonce/chaussures-enfants/claquettes-enfant-894267","Chaussures Enfants","8 000 CFA","Sénégal","https://images.coinafrique.com/thumb_3768510_uploaded_image1_1656771169.jpg"
"1752803445-52","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","10 000CFA","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-894314","Chaussures Enfants","10 000 CFA","Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803455-53","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","12 000CFA","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-902724","Chaussures Enfants","12 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803457-54","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","12 000CFA","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-902727","Chaussures Enfants","12 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4928088_uploaded_image1_1725487276.jpg"
"1752803460-55","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfant-905353","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803462-56","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905360","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803465-57","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905363","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803467-58","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905365","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803469-59","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905367","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803472-60","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905369","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803474-61","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905373","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803477-62","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfant-905376","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803479-63","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905378","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803481-64","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905383","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803484-65","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905385","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803486-66","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905388","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803488-67","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905394","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803491-68","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905397","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803493-69","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905399","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803496-70","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905401","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803498-71","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905406","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803500-72","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905410","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803503-73","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905412","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803505-74","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905416","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803507-75","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905422","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803510-76","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905424","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803512-77","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfant-905429","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803515-78","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905430","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803517-79","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfant-905432","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803519-80","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905437","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803522-81","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905439","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803524-82","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905442","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803527-83","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905446","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803529-84","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905450","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803532-85","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905452","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803534-86","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905455","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803537-87","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","Prix sur demande","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905461","Chaussures Enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1752803539-88","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","7 000CFA","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-zara-905654","Chaussures Enfants","7 000 CFA","Sénégal","https://images.coinafrique.com/thumb_905654_uploaded_image1_1567532748.81.png"
"1752803542-89","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","10 000CFA","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-919324","Chaussures Enfants","10 000 CFA","Sénégal","https://images.coinafrique.com/thumb_919324_uploaded_image1_1567854655.1.png"
"1752803544-90","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","15 000CFA","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-lacoste-enfant-919329","Chaussures Enfants","15 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_919329_uploaded_image1_1567854794.2.png"
"1752803547-91","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","15 000CFA","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-et-sacs-enfants-947507","Chaussures Enfants","15 000 CFA","Saly, Sénégal","https://images.coinafrique.com/thumb_947507_uploaded_image1_1568567749.69.png"
"1752803550-92","https://sn.coinafrique.com/categorie/chaussures-enfants?page=7","10 000CFA","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-961311","Chaussures Enfants","10 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
